folioviv,foliohog,est_socio,leche,huevo,pescado,p_leche,p_huevo
100013601,1,3,0,719.98,745.71,18.72,28.5
100013602,1,3,443.55,0,0,18.72,28.5
100013603,1,3,4345.7,411.42,0,18.72,28.5
100013604,1,3,0,0,0,18.72,28.5
100013606,1,3,0,0,0,18.72,28.5
100026701,1,3,0,0,0,18.72,28.5
100026703,1,3,2841.41,308.57,0,18.72,28.5
100026704,1,3,1491.4,629.99,0,18.72,28.5
100026706,1,3,257.14,308.56,0,18.72,28.5
100027201,1,3,321.42,0,0,18.72,28.5
100027202,1,3,887.13,308.57,0,18.72,28.5
100027204,1,3,0,0,0,18.72,28.5
100027205,1,3,359.99,0,0,18.72,28.5
100045501,1,3,668.54,0,0,18.72,28.5
100045502,1,3,0,2699.99,0,18.72,28.5
100045503,1,3,3799.25,514.28,0,18.72,28.5
100045505,1,3,784.27,0,0,18.72,28.5
100045506,1,3,1234.27,0,0,18.72,28.5
100054301,1,3,578.55,411.42,0,18.72,28.5
100054302,1,3,2237.13,192.85,0,18.72,28.5
100054303,1,3,1247.11,0,0,18.72,28.5
100054305,1,3,0,449.99,0,18.72,28.5
100054306,1,3,2211.41,231.42,0,18.72,28.5
100058901,1,3,0,128.57,1028.57,18.72,28.5
100058902,1,3,359.98,0,0,18.72,28.5
100058903,1,3,3458.52,385.7,0,18.72,28.5
100058906,1,3,0,308.56,282.85,18.72,28.5
100062801,1,3,674.97,173.57,0,18.72,28.5
100062802,1,3,308.56,359.99,0,18.72,28.5
100062803,1,3,0,0,0,18.72,28.5
100062804,1,3,462.84,0,0,18.72,28.5
100062805,1,3,411.42,359.99,0,18.72,28.5
100062806,1,3,0,0,0,18.72,28.5
100067401,1,4,6878.53,437.14,0,18.72,28.5
100067402,1,4,0,0,0,18.72,28.5
100067403,1,4,1337.14,0,0,18.72,28.5
100067404,1,4,0,0,0,18.72,28.5
100067405,1,4,1684.25,411.42,0,18.72,28.5
100067406,1,4,0,668.56,0,18.72,28.5
100068901,1,2,359.99,719.98,0,18.72,28.5
100068902,1,2,771.42,1157.11,0,18.72,28.5
100068904,1,2,334.28,167.14,0,18.72,28.5
100068906,1,2,0,0,0,18.72,28.5
100069801,1,2,848.56,0,0,18.72,28.5
100069802,1,2,642.84,154.28,0,18.72,28.5
100069803,1,2,3509.98,0,0,18.72,28.5
100069804,1,2,0,347.14,0,18.72,28.5
100069805,1,2,0,0,0,18.72,28.5
100069806,1,2,848.56,334.28,0,18.72,28.5
100073401,1,2,179.99,167.14,0,18.72,28.5
100073402,1,2,1285.7,372.84,0,18.72,28.5
