countrycode,region,year,gini
ALB,europe,1990,27
ALB,europe,1991,27
ALB,europe,1992,27
ALB,europe,1993,27
ALB,europe,1994,27
ALB,europe,1995,27
ALB,europe,1996,27
ALB,europe,1997,28.1
ALB,europe,1998,28.1
ALB,europe,1999,28.1
ALB,europe,2000,28.1
ALB,europe,2001,28.1
ALB,europe,2002,31.7
ALB,europe,2003,31.15
ALB,europe,2004,31.15
ALB,europe,2005,30.6
ALB,europe,2006,30.3
ALB,europe,2007,30.3
ALB,europe,2008,30
ALB,europe,2009,29.5
ALB,europe,2010,29.5
ALB,europe,2011,29.5
ALB,europe,2012,29
ALB,europe,2013,29
ALB,europe,2014,29
ALB,europe,2015,29
ARG,america,1990,29
ARG,america,1991,46.8
ARG,america,1992,45.5
ARG,america,1993,44.9
ARG,america,1994,45.9
ARG,america,1995,48.9
ARG,america,1996,49.5
ARG,america,1997,49.1
ARG,america,1998,50.7
ARG,america,1999,49.8
ARG,america,2000,51.1
ARG,america,2001,53.3
ARG,america,2002,53.8
ARG,america,2003,53.5
ARG,america,2004,50.2
ARG,america,2005,49.3
ARG,america,2006,48.3
ARG,america,2007,47.4
ARG,america,2008,46.3
ARG,america,2009,45.3
ARG,america,2010,44.5
ARG,america,2011,43.6
ARG,america,2012,42.5
ARG,america,2013,42.3
ARG,america,2014,42.7
ARG,america,2015,42.7
ARM,europe,1990,36.2
ARM,europe,1991,36.2
ARM,europe,1992,36.2
ARM,europe,1993,36.2
ARM,europe,1994,36.2
ARM,europe,1995,36.2
ARM,europe,1996,36.2
ARM,europe,1997,36.2
ARM,europe,1998,36.2
ARM,europe,1999,36.2
ARM,europe,2000,35.8
ARM,europe,2001,35.4
ARM,europe,2002,34.8
ARM,europe,2003,33
ARM,europe,2004,37.5
ARM,europe,2005,36
ARM,europe,2006,32.5
ARM,europe,2007,29.8
ARM,europe,2008,30.7
ARM,europe,2009,29.6
ARM,europe,2010,31.1
ARM,europe,2011,31.3
ARM,europe,2012,30.5
ARM,europe,2013,31.5
ARM,europe,2014,31.5
ARM,europe,2015,32.4
AUS,asia_pacific,1990,32.6
AUS,asia_pacific,1991,32.6
AUS,asia_pacific,1992,32.6
AUS,asia_pacific,1993,32.6
AUS,asia_pacific,1994,32.6
AUS,asia_pacific,1995,32.6
AUS,asia_pacific,1996,34.05
AUS,asia_pacific,1997,34.05
AUS,asia_pacific,1998,34.05
AUS,asia_pacific,1999,34.05
AUS,asia_pacific,2000,34.05
AUS,asia_pacific,2001,33.5
AUS,asia_pacific,2002,33.5
